sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
10303,,Default,simple,Default Category,base,Silver Hair Line Classic Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,42500,,,,silver-hair-line-classic-plus-9-cuft-1,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Silver-Hairline_Front.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Silver-Hairline_Front.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Silver-Hairline_Front.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5273,5274",,,,,,,,,,,,,,,,,,
10301,,Default,simple,Default Category,base,Brown Classic Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,42500,,,,brown-classic-plus-9-cuft-4,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Brown_Front.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Brown_Front.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Brown_Front.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5273,5275",,,,,,,,,,,,,,,,,,
10086,,Default,simple,Default Category,base,New Blue Hair Line Classic Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,48000,,,,new-blue-hair-line-classic-plus-11-cuft-3,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/blue-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/blue-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/blue-hairline-VCM-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5274,5275",,,,,,,,,,,,,,,,,,
10081,,Default,simple,Default Category,base,New Silver Hair Line Classic Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,48000,,,,new-silver-hair-line-classic-plus-11-cuft-3,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Silver-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Silver-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Silver-hairline-VCM-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5273,5274",,,,,,,,,,,,,,,,,,
10076,,Default,simple,Default Category,base,New Golden Classic Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,48000,,,,new-golden-classic-plus-11-cuft-7,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/VCM-golden-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/VCM-golden-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/VCM-golden-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5273,5274",,,,,,,,,,,,,,,,,,
10071,,Default,simple,Default Category,base,New Brown Classic Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,48000,,,,new-brown-classic-plus-11-cuft-3,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/vcm-brown-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/vcm-brown-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/vcm-brown-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5273,5275",,,,,,,,,,,,,,,,,,
10066,,Default,simple,Default Category,base,New Black Persona Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,53000,,,,new-black-persona-plus-11-cuft-2,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Black.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Black.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Black.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5277,5278",,,,,,,,,,,,,,,,,,
10061,,Default,simple,Default Category,base,New Brown Persona Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,53000,,,,new-brown-persona-plus-11-cuft-6,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-persona-brown.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-persona-brown.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-persona-brown.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5272,5278",,,,,,,,,,,,,,,,,,
10056,,Default,simple,Default Category,base,New Maroon Persona Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,53000,,,,new-maroon-persona-plus-11-cuft-4,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Plus-Maroon.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Plus-Maroon.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Plus-Maroon.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5272,5277",,,,,,,,,,,,,,,,,,
10051,,Default,simple,Default Category,base,New Golden Persona Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,53000,,,,new-golden-persona-plus-11-cuft-5,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Golden.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Golden.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Golden.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5272,5277",,,,,,,,,,,,,,,,,,
10038,,Default,simple,Default Category/Air Conditioners/Split Inverter Air Conditioners,base,eECO Plus (Metallic Grey) (KEE-1243S H/C)(1 Ton),"<ul>
\n 	<li>Up to 75% Energy Efficient</li>
\n 	<li>UVC light ensures bacteria free clean air</li>
\n 	<li>Anti-rust coating</li>
\n 	<li>Golden fins</li>
\n 	<li>Low voltage operation (145V-260V)</li>
\n 	<li>For all weather conditions</li>
\n 	<li>Hidden LED display</li>
\n 	<li>Auto restart</li>
\n 	<li>Turbo operation</li>
\n 	<li>Sleep mode</li>
\n 	<li>Inner-grooved copper tube</li>
\n 	<li>24 hr timer</li>
\n 	<li>100% Copper pipe</li>
\n 	<li>Powerful air-flow</li>
\n 	<li>Heat &amp; Cool Function</li>
\n 	<li>2 Year PCB Warranty</li>
\n 	<li>5+1 Nation Wide Warranty</li>
\n</ul>","Presenting eInverter Eco in a metallic grey finish, that is designed to enhance the décor of your room. This model is the perfect combination of advanced technology complimented by its modern design. With up to 75% energy efficiency and heat and cool function, this model is the ideal choice for your space without compromising on quality.",,1,Taxable Goods,"Catalog, Search",78500,,,,eeco-plus-metallic-grey-kee-1243s-hc1-ton-8,Split AC eECO Plus - Best AC in Pakistan,,Kenwood AC eECO Plus is best ac in terms of design and beauty as it adds value to your interior decor and having the best price.,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,, ,7,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,5260,,,,,,,,,,,,,,,,,,
10039,,Default,simple,Default Category/Air Conditioners/Split Inverter Air Conditioners,base,eECO Plus (Metallic Grey) (KEE-1843S H/C)(1.5 Ton),"<ul>
\n 	<li>Up to 75% Energy Efficient</li>
\n 	<li>UVC light ensures bacteria free clean air</li>
\n 	<li>Anti-rust coating</li>
\n 	<li>Golden fins</li>
\n 	<li>Low voltage operation (145V-260V)</li>
\n 	<li>For all weather conditions</li>
\n 	<li>Hidden LED display</li>
\n 	<li>Auto restart</li>
\n 	<li>Turbo operation</li>
\n 	<li>Sleep mode</li>
\n 	<li>Inner-grooved copper tube</li>
\n 	<li>24 hr timer</li>
\n 	<li>100% Copper pipe</li>
\n 	<li>Powerful air-flow</li>
\n 	<li>Heat &amp; Cool Function</li>
\n 	<li>2 Year PCB Warranty</li>
\n 	<li>5+1 Nation Wide Warranty</li>
\n</ul>","Presenting eInverter Eco in a metallic grey finish, that is designed to enhance the décor of your room. This model is the perfect combination of advanced technology complimented by its modern design. With up to 75% energy efficiency and heat and cool function, this model is the ideal choice for your space without compromising on quality.",,1,Taxable Goods,"Catalog, Search",101500,,,,eeco-plus-metallic-grey-kee-1843s-hc1-5-ton-3,Split AC eECO Plus - Best AC in Pakistan,,Kenwood AC eECO Plus is best ac in terms of design and beauty as it adds value to your interior decor and having the best price.,"https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg, https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg",,"https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg, https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg",,"https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg, https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eEco-Plus-Grey.jpg",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,, ,9,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,5260,,,,,,,,,,,,,,,,,,
10032,,Default,simple,Default Category,base,Maroon Invertech Inverter Refrigerator - 13 Cuft,,,,1,Taxable Goods,Not Visible Individually,64500,,,,maroon-invertech-inverter-refrigerator-13-cuft-9,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Maroon-copy-Invertech-Series-1.png,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Maroon-copy-Invertech-Series-1.png,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Maroon-copy-Invertech-Series-1.png,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=13 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
9964,,Default,simple,Default Category/Air Conditioners/Split Air Conditioners,base,eTitan Plus - KET-2442S - 2 ton,"<ul>
\n 	<li>Climate Control T1</li>
\n 	<li>Refrigerant leakage detection</li>
\n 	<li>Self-diagnosis and auto-protection</li>
\n 	<li>Auto restart function</li>
\n 	<li>Sleep mode</li>
\n 	<li>High efficiency tube</li>
\n 	<li>2-way draining</li>
\n 	<li>Golden fin</li>
\n 	<li>Heat &amp; Cool Function</li>
\n 	<li>Eco- Friendly R410Gas</li>
\n 	<li>2 Year PCB Warranty</li>
\n 	<li>3+1 Nation Wide Warranty</li>
\n</ul>",,,1,Taxable Goods,"Catalog, Search",106000,,,,etitan-plus-ket-2442s-2-ton-2,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,, ,4,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
9963,,Default,simple,Default Category/Air Conditioners/Split Air Conditioners,base,eTitan Plus - KET-1842S - 1.5 ton,"<ul>
\n 	<li>Climate Control T1</li>
\n 	<li>Refrigerant leakage detection</li>
\n 	<li>Self-diagnosis and auto-protection</li>
\n 	<li>Auto restart function</li>
\n 	<li>Sleep mode</li>
\n 	<li>High efficiency tube</li>
\n 	<li>2-way draining</li>
\n 	<li>Golden fin</li>
\n 	<li>Heat &amp; Cool Function</li>
\n 	<li>Eco- Friendly R410Gas</li>
\n 	<li>2 Year PCB Warranty</li>
\n 	<li>3+1 Nation Wide Warranty</li>
\n</ul>",,,1,Taxable Goods,"Catalog, Search",77500,,,,etitan-plus-ket-1842s-1-5-ton-6,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,, ,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
9961,,Default,simple,Default Category/Air Conditioners/Split Air Conditioners,base,eTitan Plus - KET-1242S - 1 ton,"<ul>
\n 	<li>Climate Control T1</li>
\n 	<li>Refrigerant leakage detection</li>
\n 	<li>Self-diagnosis and auto-protection</li>
\n 	<li>Auto restart function</li>
\n 	<li>Sleep mode</li>
\n 	<li>High efficiency tube</li>
\n 	<li>2-way draining</li>
\n 	<li>Golden fin</li>
\n 	<li>Heat &amp; Cool Function</li>
\n 	<li>Eco- Friendly R410Gas</li>
\n 	<li>2 Year PCB Warranty</li>
\n 	<li>3+1 Nation Wide Warranty</li>
\n</ul>",,,1,Taxable Goods,"Catalog, Search",61000,,,,etitan-plus-ket-1242s-1-ton-6,%%title%% %%page%% %%sep%% %%sitename%% %%category_description%%,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/eTitan-Plus-1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,, ,13,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
7348,,Default,simple,"Default Category/Air Conditioners,Default Category/Air Conditioners/Split Air Conditioners",base,KES-1839S E supreme,"<ul>
\n 	<li>Energy efficient up to 60%</li>
\n 	<li>R410a gas</li>
\n 	<li>Hidden LED display</li>
\n 	<li>Auto restart</li>
\n 	<li>I-feel function</li>
\n 	<li>Auto clean function</li>
\n 	<li>4D airflow</li>
\n 	<li>Intelligent sleep mode</li>
\n 	<li>Anti-fungus function</li>
\n</ul>",,,1,Taxable Goods,"Catalog, Search",90000,,,,kes-1839s-e-supreme-1,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2020/05/eSupreme.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2020/05/eSupreme.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2020/05/eSupreme.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,, ,7,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
6585,,Default,simple,Default Category,base,Golden Persona Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,51500,,,,golden-persona-plus-11-cuft-9,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/persona-golden.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/persona-golden.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/persona-golden.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5272,5277",,,,,,,,,,,,,,,,,,
6581,,Default,simple,Default Category,base,Brown Persona Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,51500,,,,brown-persona-plus-11-cuft-9,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/persona-brown.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/persona-brown.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/persona-brown.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5272,5278",,,,,,,,,,,,,,,,,,
6565,,Default,simple,Default Category,base,Blue Hair Line Classic Plus - 11 Cuft,,,,1,Taxable Goods,Not Visible Individually,46500,,,,blue-hair-line-classic-plus-11-cuft-3,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Blue-Hairline-Front.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Blue-Hairline-Front.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Blue-Hairline-Front.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=11 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5274,5275",,,,,,,,,,,,,,,,,,
